Place des Fêtes,1797,7B,Rue de Crimée - 75119,(PRE-SAINT-GERVAIS <-> LOUIS BLANC) - Retour
Place des Fêtes,1798,11,Rue de Crimée - 75119,(MAIRIE DES LILAS <-> CHATELET) - Aller
Plaisance,1799,13,Rue Raymond Losserand - 75114,(CHATILLON - MONTROUGE <-> ST-DENIS-UNIVERSITE/LES COURTILLES) - Aller
Poissonnière,1800,7,Terre-plein face au 96/98 rue La Fayette - 75110,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller
Pont de Levallois-Bécon,1802,3,Rue Baudin - 92044,(GALLIENI <-> PONT DE LEVALLOIS - BECON) - Aller
Pont de Neuilly,1803,1,209 avenue Charles de Gaulle - 92051,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller
Pont de Sèvres,1804,9,quai Alphonse Le Gallo - 92012,(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Aller
Pont Marie (Cité des Arts),1805,7,quai de l'Hôtel de Ville - 75104,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller
Pont Neuf,1806,7,quai du Louvre - 75101,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller
Porte d'Italie,1808,7,Boulevard Masséna - 75113,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller
Maubert-Mutualité,1811,10,Panthéon - 75105,(BOULOGNE - PONT DE SAINT CLOUD <-> GARE D'AUSTERLITZ) - Aller
Ménilmontant,1812,2,Ménilmontant (139/148 boulevard de) - 75111,(NATION <-> PORTE DAUPHINE) - Aller
Michel-Ange-Auteuil,1814,9,55 rue d' Auteuil - 75116,(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Aller
Michel-Ange-Molitor,1816,9,34 rue Molitor - 75116,(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Aller
Michel-Ange-Molitor,1817,10,34 rue Molitor - 75116,(BOULOGNE - PONT DE SAINT CLOUD <-> GARE D'AUSTERLITZ) - Aller
Mirabeau,1818,10,63 avenue de Versailles - 75116,(BOULOGNE - PONT DE SAINT CLOUD <-> GARE D'AUSTERLITZ) - Aller
Miromesnil,1819,9,29 rue de la Boétie - 75108,(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Aller
Miromesnil,1820,13,29 rue de la Boétie - 75108,(CHATILLON - MONTROUGE <-> ST-DENIS-UNIVERSITE/LES COURTILLES) - Aller
Monceau,1822,2,1 Place de la République Dominicaine - 75108,(NATION <-> PORTE DAUPHINE) - Aller
Montparnasse-Bienvenue,1824,4,Raoul Dautry (place SNCF Montparnasse) - 75114,(PORTE DE CLIGNANCOURT <-> MAIRIE DE MONTROUGE) - Aller
Montparnasse-Bienvenue,1825,6,Raoul Dautry (place SNCF Montparnasse) - 75114,(NATION <-> CHARLES DE GAULLE - ETOILE) - Aller
Montparnasse-Bienvenue,1826,12,Raoul Dautry (place SNCF Montparnasse) - 75114,(MAIRIE D'ISSY <-> FRONT POPULAIRE) - Aller
Montparnasse-Bienvenue,1827,13,Raoul Dautry (place SNCF Montparnasse) - 75114,(CHATILLON - MONTROUGE <-> ST-DENIS-UNIVERSITE/LES COURTILLES) - Aller
Mouton-Duvernet,1828,4,42 avenue du Général Leclerc - 75114,(PORTE DE CLIGNANCOURT <-> MAIRIE DE MONTROUGE) - Aller
Nation,1832,1,Terre-plein face au 3 place de la Nation - 75112,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller
Nation,1833,2,Terre-plein face au 3 place de la Nation - 75112,(NATION <-> PORTE DAUPHINE) - Aller
Nation,1834,6,Terre-plein face au 3 place de la Nation - 75112,(NATION <-> CHARLES DE GAULLE - ETOILE) - Aller
Nationale,1836,6,Terre-plein face au 124-143 boulevard Vincent Auriol - 75113,(NATION <-> CHARLES DE GAULLE - ETOILE) - Aller
Notre-Dame de Lorette,1841,12,Rue de Chateaudun - 75109,(MAIRIE D'ISSY <-> FRONT POPULAIRE) - Aller
Notre-Dame des Champs,1842,12,Terre-plein face au 112 boulevard Raspail - 75106,(MAIRIE D'ISSY <-> FRONT POPULAIRE) - Aller
Oberkampf,1843,5,43 boulevard Voltaire - 75111,(BOBIGNY - PABLO PICASSO <-> PLACE D'ITALIE) - Aller
Oberkampf,1844,9,43 boulevard Voltaire - 75111,(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Aller
Odéon,1845,4,Carrefour de l' Odéon - 75106,(PORTE DE CLIGNANCOURT <-> MAIRIE DE MONTROUGE) - Aller
Opéra,1846,3,Théâtre National de l'Opéra - 75109,(GALLIENI <-> PONT DE LEVALLOIS - BECON) - Aller
Opéra,1847,7,Théâtre National de l'Opéra - 75109,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller
Le Peletier,1849,7,Rue de la Victoire - 75109,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller
Les Gobelins,1854,7,Manufacture des Gobelins - 75113,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller
Les Halles,1855,4,Rue Turbigo - 75101,(PORTE DE CLIGNANCOURT <-> MAIRIE DE MONTROUGE) - Aller
Les Sablons (Jardin d'acclimatation),1856,1,Jardin d'Acclimatation - 92051,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller
Liège,1858,13,Terre-plein face au 21 rue de Liège - 75108,(CHATILLON - MONTROUGE <-> ST-DENIS-UNIVERSITE/LES COURTILLES) - Aller
Louis Blanc,1860,7,234 rue du Faubourg Saint-Martin - 75110,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller
Louis Blanc,1861,7B,234 rue du Faubourg Saint-Martin - 75110,(PRE-SAINT-GERVAIS <-> LOUIS BLANC) - Aller
Louise Michel,1862,3,Rue Anatole France - 92044,(GALLIENI <-> PONT DE LEVALLOIS - BECON) - Aller
Louvre-Rivoli,1864,1,Amiral de Coligny (8 rue de l') - 75101,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller
Mabillon,1867,10,Place d' Arcadie - 75106,(BOULOGNE - PONT DE SAINT CLOUD <-> GARE D'AUSTERLITZ) - Aller
Madeleine,1869,12,Rue De Sèze - 75108,(MAIRIE D'ISSY <-> FRONT POPULAIRE) - Aller
Mairie d'Issy,1870,12,Rue du Général Leclerc - 92040,(MAIRIE D'ISSY <-> FRONT POPULAIRE) - Aller
Mairie d'Ivry,1871,7,Centre Commercial - 94041,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller
Mairie de Clichy,1872,13,Hôpital Gouin - 92024,(CHATILLON - MONTROUGE <-> ST-DENIS-UNIVERSITE/LES COURTILLES) - Aller
